,Special
〇,○
',
画,畫,划,劃
碰,踫
鹏,鵬
,pi
匹,疋
辟,闢
纰,紕
罴,羆
铍,鈹
鲏,鮍
钚,鈈
毗,毘
,pian
骗,騙
骈,駢
谝,諞
,piao
飘,飄
骠,驃
缥,縹
,pin
贫,貧
苹,蘋
频,頻
嫔,嬪
颦,顰
,ping
凭,憑
评,評
鲆,鮃
,po
泼,潑
颇,頗
钋,釙
钷,鉕
酦,醱
,pou
锫,錇
,pu
谱,譜
朴,樸
扑,撲
铺,舖,鋪
仆,僕
镨,鐠
镤,鏷
,qi
气,氣
齐,齊
启,啟
岂,豈
骑,騎
弃,棄
戚,慼
旗,旂
脐,臍
鳍,鰭
栖,棲
凄,淒,悽
骐,騏
蛴,蠐
鲯,鯕
讫,訖
蕲,蘄
锜,錡
桤,榿
颀,頎
碛,磧
绮,綺
,qian
浅,淺
谦,謙
牵,牽
钱,錢
铅,鉛
潜,潛
迁,遷
千,韆
签,籤,簽
钳,箝,鉗
谴,譴
钤,鈐
堑,塹
钎,釺
骞,騫
椠,槧
鹐,鵮
悭,慳
佥,僉
缱,繾
锓,鋟
,qiang
强,強
抢,搶
墙,牆
枪,鎗,槍
呛,嗆
锖,錆
锵,鏘
镪,鏹
蔷,薔
羟,羥
跄,蹌
炝,熗
樯,檣
嫱,嬙
,qiao
侨,僑
乔,喬
桥,橋
锹,鍬
翘,翹
跷,蹺
窍,竅
硗,磽
诮,誚
荞,蕎
谯,譙
硚,礄
,qie
窃,竊
箧,篋
锲,鍥
惬,愜
,qin
亲,親
勤,懃
寝,寢
钦,欽
揿,撳
嵚,嶔
骎,駸
,qing
顷,頃
倾,傾
请,請
轻,輕
庆,慶
氢,氫
鲭,鯖
苘,檾
,qiong
穷,窮
琼,瓊
茕,煢
,qiu
丘,坵
秋,鞦
巯,巰
鳅,鰍
虬,虯
赇,賕
,qu
趋,趨
区,區
驱,驅
曲,麴
躯,軀
岖,嶇
诎,詘
鸲,鴝
阒,闃
龋,齲
觑,覷
,quan
劝,勸
权,權
圳,甽
铨,銓
鳈,鰁
绻,綣
辁,輇
诠,詮
颧,顴
,que
鹊,鵲
却,卻
确,確
阙,闕
阕,闋
悫,愨
,qun
群,羣
,rang
让,讓
,rao
饶,饒
扰,擾
绕,遶,繞
蛲,蟯
荛,蕘
娆,嬈
,re
热,熱
,ren
认,認
纫,紉
韧,韌
轫,軔
纴,紝
饪,飪
,rong
绒,絨
荣,榮
冗,宂
嵘,嶸
镕,鎔
蝾,蠑
,ru
颥,顬
缛,縟
铷,銣
,ruan
软,軟
,rui
锐,銳,鋭
睿,叡
,run
润,潤
闰,閏
,ruo
箬,篛
,sa
洒,灑
萨,薩
飒,颯
,sai
赛,賽
